Category,Image,Title,Price
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/01/z3647689413100_2d8d1c5808dec3ef65abe5e8cf65e0b6-300x300.jpg,Nike Jordan 1 Low Đen Cam REP 1:1,350
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/04/46-300x300.jpg,Nike Blazer Low Trắng Đen REP,299
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/06/z3660101541980_adf73e36a0b62b70f98e8ea039075c67-300x300.jpg,Nike Jordan 1 Low Đen Trắng Xanh REP 1:1,360
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/01/z3649873980875_6b34784648f624df482fab4c674f406c-300x300.jpg,Nike Air Force 1 Xám Viền Xanh Da Rắn REP 1:1,379
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3657631546192_9d623de502a39f3893430912a9a4c4aa-300x300.jpg,Nike Air Force 1 NY Trắng Đen REP 1:1,399
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3655897742291_abed4baa9c30305e45371f4de9f8d05f-300x300.jpg,Nike Air Force 1 Da Lộn Kem Xám REP 1:1,399
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3649890795148_f207ffcde907322f77c97ba730ad1bad-300x300.jpg,Nike Air Force 1 Trắng Đen Đế Nâu REP 1:1,399
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3654767209736_562ec04741a0d270af90673d919c000d-300x300.jpg,Nike Jordan 1 Low Kem Xanh Dương Da Lộn REP 1:1,399
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/11/z3856696854691_95d75eca5c3511cc0be8ff8aab69608d-300x300.jpg,Nike Jordan 1 Low Trắng Xám Đế Đen REP 1:1,399
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3663010633270_05824dbb5751a5a42b834e140ac800f5-300x300.jpg,Nike Jordan 1 Low Thổ Cẩm REP,249
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/03/z3663122591351_06ce8218991651d030bd35ef8f3b975f-300x300.jpg,Nike Jordan 1 Low Xám Camo REP,249
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3658315268546_64b9ad42f201af3559acd22e14c8d10b-300x300.jpg,Nike Air Force 1 Shadow Full Trắng REP 1 :1,500
